# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
001:002	تمام خوبیاں اللہ کے لیے ہیں جو سب عالموں کے پروردگار ہیں۔
001:003	بڑے مہربان نہایت رحم کرنے والے ہیں۔
001:004	انصاف کے دن کے مالک ہیں۔
001:005	ہم آپ ہی کی عبادت کرتے ہیں اور آپ ہی کی مدد چاہتے ہیں۔
001:006	ہم کو سیدھے راستے پر چلائیے۔
001:007	ان لوگوں کے راستے پر جن پر آپ نے انعام کیا۔ سوائے ان لوگوں کی راہ کے جن پر آپ نے غضب کیا اور نہ گمراہوں کی۔
002:001	الم
002:002	یہ کتاب ہے جس میں کوئی شک نہیں۔ پرہیز گاروں کی راہنمائی کرتی ہے۔
002:003	وہ جو غائب پر ایمان لاتے ہیں اور نماز کو قائم رکھتے ہیں اور جو ہم نے ان کو نعمتیں دی ہیں ان میں سے خرچ کرتے ہیں۔
002:004	اور وہ لوگ جو ایمان لاتے ہیں اس پر جو آپ پر نازل کیا گیا اور جو آپ سے پہلے نازل کیا گیا اور وہ آخرت پر یقین رکھتے ہیں۔
002:005	وہ لوگ اپنے پروردگار کی طرف سے ہدایت پر ہیں اور وہی لوگ مراد کو پہنچنے والے ہیں۔
002:006	یقیناً جن لوگوں نے کفر اختیار کیا انہیں آپ متنبہ کریں یا نہ کریں برابر ہے کہ وہ ایمان لانے والے نہیں۔
002:007	اللہ نے ان کے دلوں پر مہر کردی ہے اور ان کے کانوں پر(بھی) اور ان کی آنکھوں پر پردہ(پڑا ہوا) ہے اور ان کے لیے بڑا عذاب(تیار) ہے۔
002:008	اور کچھ لوگ ایسے ہیں جو کہتے ہیں ہم اللہ پر اور آخرت کے دن پر ایمان رکھتے ہیں حالانکہ وہ ایمان نہیں رکھتے۔
002:009	اللہ کو اور مومنوں کو دھوکا دینا چاہتے ہیں مگر(درحقیقت) وہ سوائے اپنے آپ کے کسی کو دھوکا نہیں دے رہے مگر وہ اس بات کا شعور نہیں رکھتے۔
002:010	ان کے دلوں میں مرض ہے جِسے اللہ نے اور بڑھا دیا ہے اور جھوٹ بولنے کی وجہ سے انہیں دردناک عذاب ہوگا۔
002:011	اور جب ان سے کہا جاتا ہے کہ زمین میں فساد نہ کرو تو کہتے ہیں کہ ہم تو اصلاح کرنے والے ہیں۔
002:012	یاد رکھو! یقیناً یہی لوگ فساد کرنے والے ہیں ولیکن وہ اس کا شعور نہیں رکھتے۔
002:013	اور جب ان سے کہا جاتا ہے کہ تم بھی ایسا ہی ایمان لاؤ جس طرح اور لوگ ایمان لائے ہیں تو کہتے ہیں کیا ہم ویسا ایمان لائیں جیسا بے وقوف لوگ ایمان لائے ہیں؟ یاد رکھو! یقیناً وہی(خود) بے وقوف ہیں مگر نہیں جانتے۔
002:014	اور جب ایمان والوں سے ملتے ہیں تو کہتے ہیں ہم ایمان لے آئے مگر جب اپنے شریر سرداروں سے علیحدگی میں ملتے ہیں توکہتے ہیں ہم تمہارے ساتھ ہیں(مسلمانوں سے) ہم تو مذاق کیا کرتے ہیں۔
002:015	اللہ ان(منافقوں) سے مذاق کرتے ہیں اور انہیں مہلت دئیے جاتے ہیں کہ اپنی سرکشی میں سرگرداں ہورہے ہیں۔
002:016	انہوں نے ہدایت کے بدلے گمراہی خریدی تو نہ تو ان کی تجارت نے(انہیں) نفع دیا اور نہ ہی وہ ہدایت پاسکے۔
002:017	ان کی مثال اس شخص جیسی ہے جِس نے کہیں(شبِ تار میں) آگ جلائی ہو۔ جب(آگ نے) اس کے اردگرد کی چیزوں کو روشن کردیا تو اللہ نے ان لوگوں کی روشنی سلب کرلی ہو اور ان کو اندھیروں میں چھوڑ دیا کہ وہ کچھ دیکھ نہیں پاتے۔
002:018	بہرے ہیں گونگے ہیں اندھے ہیں کہ وہ (ہدایت کی طرف) لوٹ نہیں سکتے۔
002:019	یا ان کی مثال بارش جیسی ہے کہ آسمان کی طرف سے برس رہی ہو جِس میں تاریکی چھا رہی ہو اور بادل گرج رہا ہو اور بجلی کوند رہی ہو تو یہ کڑک سے(ڈر کر) موت کے خوف سے کانوں میں انگلیاں دے لیں اور اللہ کافروں کو ہر طرف سے گھیرے ہوئے ہیں۔
002:020	ایسا لگتا ہے کہ بجلی (کی چمک) نے ان کی بینائی لے لی جہاں ذرا ان کو (بجلی کی) روشنی ہوئی تو اس میں چلنا شروع کر دیا اور جب اُن پر تاریکی ہوئی تو کھڑے کے کھڑے رہ گئے۔ اور اگر اللہ چاہتے تو ان کی سماعت اور بصارت سب سلب کرلیتے بے شک اللہ ہر چیز پر قادر ہیں۔
002:021	اے لوگو! اپنے پروردگار کی عبادت کرو جِس نے تم کو اور تم سے پہلے لوگوں کو پیدا کیا تاکہ تم (گرفت سے)بچ سکو۔
002:022	جِس نے تمہارے لیے زمین کو بچھونا اور آسمان کو چھت بنایا اور آسمان سے پانی برسا کر تمہارے کھانے کے لیے انواع و اقسام کے پھل پیدا کیے پس کسی کو اللہ کا ہمسر نہ بناؤ اور تم جانتے ہو۔
002:023	اور اگر تم کو اس کتاب میں جو ہم نے اپنے بندۂ خاص پر نازل فرمائی کچھ شک ہوتو ایسی تحریر کا ایک ٹکڑا تم بھی بنا لاؤ اور اگر تم سچے ہو تو اللہ کے علاوہ جو تمہارے مددگار ہیں ان کو بھی بلا لو۔
