# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
001:002	تمام خوبیاں اللہ کے لیے ہیں جو سب عالموں کے پروردگار ہیں۔	All Praiseworthy Attributes are for Allah, Who is the Rabb of all the worlds.
001:003	بڑے مہربان نہایت رحم کرنے والے ہیں۔	(He is) Very Kind, Extremely Merciful.
001:004	انصاف کے دن کے مالک ہیں۔	(He is) the Master of the Day of Justice.
001:005	ہم آپ ہی کی عبادت کرتے ہیں اور آپ ہی کی مدد چاہتے ہیں۔	It is only You, Whom we worship, and it is only Your Help that we seek.
001:006	ہم کو سیدھے راستے پر چلائیے۔	Make us walk on the straight path.
001:007	ان لوگوں کے راستے پر جن پر آپ نے انعام کیا۔ سوائے ان لوگوں کی راہ کے جن پر آپ نے غضب کیا اور نہ گمراہوں کی۔	On the path of those people on whom You have bestowed blessings. Excepting the path of those people on whom You have sent wrath, and nor of those who are astray.
002:001	الم	ALIF-LAAM-MEEM.
002:002	یہ کتاب ہے جس میں کوئی شک نہیں۔ پرہیز گاروں کی راہنمائی کرتی ہے۔	This is the Book in which there is no doubt; it guides the Allah-conscious.
002:003	وہ جو غائب پر ایمان لاتے ہیں اور نماز کو قائم رکھتے ہیں اور جو ہم نے ان کو نعمتیں دی ہیں ان میں سے خرچ کرتے ہیں۔	Those who believe in the Unseen, and establish Salah, and spend of the blessings We have granted them.
002:004	اور وہ لوگ جو ایمان لاتے ہیں اس پر جو آپ پر نازل کیا گیا اور جو آپ سے پہلے نازل کیا گیا اور وہ آخرت پر یقین رکھتے ہیں۔	And the people who believe in that which has been revealed to you and that which was revealed before you, and they have sure faith in the Hereafter.
002:005	وہ لوگ اپنے پروردگار کی طرف سے ہدایت پر ہیں اور وہی لوگ مراد کو پہنچنے والے ہیں۔	Those people are on guidance from their Rabb; and it is they who are going to reach their goal.
002:006	یقیناً جن لوگوں نے کفر اختیار کیا انہیں آپ متنبہ کریں یا نہ کریں برابر ہے کہ وہ ایمان لانے والے نہیں۔	Indeed, the people who adopted unbelief, it is the same whether you warn them or not, as they are not going to believe.
002:007	اللہ نے ان کے دلوں پر مہر کردی ہے اور ان کے کانوں پر(بھی) اور ان کی آنکھوں پر پردہ(پڑا ہوا) ہے اور ان کے لیے بڑا عذاب(تیار) ہے۔	Allah has set a seal on their hearts and (also) on their ears; and on their eyes is (set) a cover, and a great torment is (ready) for them.
002:008	اور کچھ لوگ ایسے ہیں جو کہتے ہیں ہم اللہ پر اور آخرت کے دن پر ایمان رکھتے ہیں حالانکہ وہ ایمان نہیں رکھتے۔	And there are some people who say, ‘We believe in Allah and in the Hereafter;’ while, in fact, they do not believe.
002:009	اللہ کو اور مومنوں کو دھوکا دینا چاہتے ہیں مگر(درحقیقت) وہ سوائے اپنے آپ کے کسی کو دھوکا نہیں دے رہے مگر وہ اس بات کا شعور نہیں رکھتے۔	They wish to deceive Allah and the believers; but (in reality) they are deceiving none but themselves; however, they have no perception of this.
002:010	ان کے دلوں میں مرض ہے جِسے اللہ نے اور بڑھا دیا ہے اور جھوٹ بولنے کی وجہ سے انہیں دردناک عذاب ہوگا۔	In their hearts is a disease, which Allah has increased further; and they will be given a painful torment for telling lies.
